date,avg,revenue,change 1,change 2
2016/2/19,95,-468,0,0.103184236
2016/2/22,95,-518,0.000798267,0
2016/2/23,87.5,-633,0,0
2016/2/24,85,-661,0,0
2016/2/25,85,-692,0,0
2016/2/26,85,-805,0,-0.060624622
2016/2/29,85,-1145,-0.000709966,0
2016/3/1,80,-1036,0,0
2016/3/2,80,-1276,0,0
2016/3/3,80,-1134,0,0
2016/3/4,77.5,-1099,0,0
2016/3/7,75,-1014,-0.000656687,0
2016/3/8,75,-1251,0,0
2016/3/9,70,-1283,0,0
2016/3/10,70,-1499,0,0
2016/3/11,67.5,-1368,0,0.060624622
2016/3/14,65,-1289,5.86E-05,0
2016/3/15,65,-1439,0,0
2016/3/16,65,-1469,0,0
2016/3/17,60,-1453,0,0
2016/3/21,60,-1506,0.000174764,-0.019802627
2016/3/22,55,-1467,0,0
2016/3/23,55,-1229,0,0
2016/3/24,50,-1188,0,0
2016/3/29,50,-1113,0.000235212,0.039220713
2016/3/30,52.5,-845,0,0
2016/3/31,52.5,-779,0,0
2016/4/1,52.5,-750,0,0.019048195
2016/4/5,52.5,-471,-0.000468558,0
2016/4/6,55,-437,0,0
2016/4/7,55,-308,0,0
2016/4/8,55,-201,0,0.037041272
2016/4/11,55,-188,0.000106597,0
2016/4/12,55,-202,0,0
2016/4/13,55,-450,0,0
2016/4/14,55,-553,0,0
2016/4/15,55,-528,0,-0.075507553
2016/4/18,55,-375,-0.00123184,0
2016/4/19,50,-546,0,0
2016/4/20,50,-745,0,0
2016/4/21,50,-954,0,0
2016/4/22,50,-889,0,0.057158414
2016/4/25,50,-1043,0.001399875,0
2016/4/26,50,-856,0,0
2016/4/27,50,-859,0,0
2016/4/28,50,-1027,0,0
2016/4/29,50,-894,0,0.018349139
2016/5/3,50,-1033,-0.000728036,0
2016/5/4,50,-828,0,0
2016/5/4,50,-828,0,0
2016/5/5,50,-761,0,0
2016/5/6,50,-731,0,0.087011377
2016/5/9,50,-745,-0.000113383,0
2016/5/10,50,-801,0,0
2016/5/11,50,-760,0,0
2016/5/12,50,-688,0,0
2016/5/13,50,-821,0,0.048790164
2016/5/16,50,-652,-0.000271019,0
2016/5/17,45,-611,0,0
2016/5/18,45,-473,0,0
2016/5/19,50,-448,0,0
2016/5/20,50,-601,0,0.015748357
2016/5/23,45,-505,-0.000398011,0
2016/5/24,45,-577,0,0
2016/5/25,45,-656,0,0
2016/5/26,45,-732,0,0
2016/5/27,45,-737,0,0.030771659
2016/5/31,45,-945,-0.000490522,0
2016/6/1,45,-929,0,0
2016/6/2,40,-715,0,0
2016/6/6,40,-606,0.000235673,-0.046520016
2016/6/7,40,-413,0,0
2016/6/8,40,-160,0,-0.016000341
2016/6/16,50,-313,0.000375038,0
2016/6/17,50,-150,0,-0.032789823
2016/6/20,50,-96,-0.000446215,0
2016/6/21,50,-188,0,0
2016/6/22,50,-409,0,0
2016/6/23,50,-438,0,0
2016/6/24,45,-722,0,-0.033901552
2016/6/27,45,-406,0.000515438,0
2016/6/28,45,-522,0,0
2016/6/29,45,-566,0,0
2016/6/30,45,-740,0,0
2016/7/1,45,-661,0,-0.017391743
2016/7/4,45,-712,-0.000227875,0
2016/7/5,45,-753,0,0
2016/7/6,45,-750,0,0
2016/7/7,45,-499,0,0
2016/7/8,45,-522,0,0.034486176
2016/7/11,45,-558,-0.00043378,0
2016/7/12,45,-603,0,0
2016/7/13,45,-655,0,0
2016/7/14,45,-698,0,0
2016/7/15,45,-787,0,0.041499731
2016/7/18,45,-820,0.00038666,0
2016/7/19,45,-850,0,0
2016/7/20,45,-869,0,0
2016/7/21,45,-941,0,0
2016/7/25,45,-985,-0.000486715,0.024097552
2016/7/26,45,-994,0,0
2016/7/27,45,-911,0,0
2016/7/28,45,-795,0,0
2016/7/29,45,-804,0,0.031252544
2016/8/1,45,-794,-0.000547597,0
2016/8/2,45,-622,0,0
2016/8/3,45,-532,0,0
2016/8/4,45,-461,0,0
2016/8/5,45,-429,0,-0.015504187
2016/8/8,45,-444,-4.52E-05,0
2016/8/9,45,-457,0,0
2016/8/10,45,-396,0,0
2016/8/11,45,-510,0,0
2016/8/12,45,-589,0,-0.048009219
2016/8/15,45,-382,0.000174232,0
2016/8/16,45,-395,0,0
2016/8/17,45,-482,0,0
2016/8/18,45,-419,0,0
2016/8/19,45,-506,0,-0.03333642
2016/8/22,45,-580,-0.000250288,0
2016/8/23,45,-445,0,0
2016/8/24,45,-321,0,0
2016/8/25,45,-282,0,0
2016/8/26,45,-318,0,-0.034486176
2016/8/30,45,-284,3.85E-05,0
2016/8/31,45,-237,0,0
2016/9/1,45,-211,0,0
2016/9/2,48,-100,0,-0.035718083
2016/9/5,48,-112,-0.000370719,0
2016/9/6,50,-8,0,0
2016/9/7,50,-85,0,0
2016/9/8,50,-57,0,0
2016/9/9,55,-108,0,-0.037041272
2016/9/12,55,-9,-7.42E-05,0
2016/9/13,55,-146,0,0
2016/9/14,55,-84,0,-0.019048195
2016/9/21,60,-307,0.000397705,0
2016/9/22,60,-221,0,0
2016/9/23,62.5,-429,0,-0.019418086
2016/9/26,62.5,-416,6.93E-05,0
2016/9/27,62.5,-396,0,0
2016/9/28,62.5,-319,0,0
2016/9/29,62.5,-473,0,0
2016/9/30,62.5,-379,0,-0.040005335
2016/10/10,65,-344,0.000423502,0
2016/10/11,65,-392,0,0
2016/10/12,70,-445,0,0
2016/10/13,72.5,-265,0,0
2016/10/14,75,-113,0,0.05942342
2016/10/17,75,-76,-0.00123443,0
2016/10/18,75,-182,0,0
2016/10/19,75,-90,0,0
2016/10/20,80,-42,0,0
2016/10/21,82.5,-86,0,-0.039220713
2016/10/25,90,472,0.000133916,0
2016/10/26,90,-28,0,0
2016/10/27,90,-309,0,0
2016/10/28,85,-377,0,-0.061875404
2016/10/31,85,-575,0.000227327,0
2016/11/1,85,-561,0,0
2016/11/2,85,-558,0,0
2016/11/3,85,-645,0,0
2016/11/4,85,-621,0,0.053843232
2016/11/7,85,-640,4.05E-05,0
2016/11/8,85,-748,0,0
2016/11/9,85,-490,0,0
2016/11/11,80,-329,0,-0.015236455
2016/11/14,80,-109,-0.000182043,0
2016/11/15,80,-144,0,0
2016/11/16,75,-700,0,0
2016/11/17,75,-635,0,0
2016/11/18,75,-569,0,-0.022775312
2016/11/21,75,-652,0.000801125,0
2016/11/22,75,-459,0,0
2016/11/23,70,-307,0,0
2016/11/24,70,-247,0,0
2016/11/25,70,-182,0,-0.002096437
2016/11/28,70,-65,-0.000477517,0
2016/11/29,70,-200,0,0
2016/11/30,67.5,-611,0,0
2016/12/1,67.5,-588,0,0
2016/12/2,67.5,-635,0,-0.012671764
2016/12/5,65,-706,1.93E-05,0
