,0
HI7000d,0.0
HI7001a,0.0
HI7002a,0.0
HI7039a,0.0
HI7003a,0.0
HI7040a,0.0
HI7005a,0.0
HI7006a,0.0
HI7007a,0.0
HI7009a,0.0
HI7010a,0.0
HI7011a,0.0
HI7012a,0.0
HI7013a,0.0
HI7014b,0.0
HI7015b,0.0
HI7043b,0.0
HI7016b,0.0
HI7017b,0.0
HI7059b,0.0
HI5093b,0.0
HI7019b,0.0
HI7020b,0.0
HI7046b,0.0
HI7058d,0.0
HI3008d,0.0
HI3009d,0.0
HI7060d,0.0
HI7060b,0.0
HI7000c,0.0
HI7001c,0.0
HI7002c,0.0
HI7039c,0.0
HI7003c,0.0
HI7004c,0.0
HI7005c,0.0
HI7041c,0.0
HI7008c,0.0
HI7009c,0.0
HI7010c,0.0
HI7011c,0.0
HI7012c,0.0
HI7013c,0.0
HI7014d,0.0
HI7015d,0.0
HI7043d,0.0
HI7016d,0.0
HI7017d,0.0
HI7059d,0.0
HI5093d,0.0
HI7019d,0.0
HI5062d,0.0
HI7036b,0.0
HI7058b,0.0
HI3008b,0.0
HI3009b,0.0
HI7022b,1.0
HI7023c,1.0
HI7065c,1.0
HI5056c,1.0
HI7025c,1.0
HI7026c,1.0
HI2068c,1.0
HI7048d,1.0
HI2075c,1.0
HI7049c,1.0
HI7029c,1.0
HI7050c,1.0
HI7052c,1.0
HI8057a,1.0
HI8011a,1.0
HI8058b,1.0
HI8014b,1.0
HI8015b,1.0
HI8016b,1.0
HI8017b,1.0
HI8059b,1.0
HI8018b,1.0
HI8019b,1.0
HI8020b,1.0
HI8021b,1.0
HI8022b,1.0
HI8072c,1.0
HI8073c,1.0
HI8023c,1.0
HI8025c,1.0
HI8026c,1.0
HI8062c,1.0
HI8027c,1.0
HI8063c,1.0
HI8064c,1.0
HI2063c,1.0
HI2065c,1.0
HI9057a,1.0
HI9077a,1.0
HI9078a,1.0
HI8020a,1.0
HI9080b,1.0
HI9059b,1.0
HI9060b,1.0
HI8062b,1.0
HI7046d,1.0
HI7022a,1.0
HI7023a,1.0
HI7065a,1.0
HI5056a,1.0
HI7025a,1.0
HI7026a,1.0
HI2068a,1.0
HI7048b,1.0
HI2075a,1.0
HI7049a,1.0
HI7029a,1.0
HI7051a,1.0
HI8010c,1.0
HI8057d,1.0
HI8012d,1.0
HI8013d,1.0
HI8014d,1.0
HI8015d,1.0
HI8016d,1.0
HI8017d,1.0
HI8059d,1.0
HI8018d,1.0
HI8019d,1.0
HI8020d,1.0
HI8021d,1.0
HI8022a,1.0
HI8072a,1.0
HI8073a,1.0
HI8024a,1.0
HI8025a,1.0
HI8026a,1.0
HI8062a,1.0
HI8027a,1.0
HI8063a,1.0
HI8064a,1.0
HI2063a,1.0
HI9077c,1.0
HI7022c,1.0
HI9057c,1.0
HI9078c,1.0
HI2068d,1.0
HI9080d,1.0
HI9059d,1.0
HI9060d,1.0
HI9001c,2.0
HI9002c,2.0
HI9003c,2.0
HI9004c,2.0
HI9005c,2.0
HI9006c,2.0
HI9007d,2.0
HI9008c,2.0
HI9009d,2.0
HI9010d,2.0
HI9011d,2.0
HI9012d,2.0
HI9013d,2.0
HI9014d,2.0
HI9015d,2.0
HI9016d,2.0
HI9017d,2.0
HI9018d,2.0
HI9019d,2.0
HI9020d,2.0
HI9021d,2.0
HI9022d,2.0
HI9067d,2.0
HI9068d,2.0
HI9069a,2.0
HI9070a,2.0
HI9023a,2.0
HI9024a,2.0
HI9025a,2.0
HI9026a,2.0
HI9028a,2.0
HI9029a,2.0
HI9044d,2.0
HI9045d,2.0
HI9046d,2.0
HI9047d,2.0
HI9074d,2.0
HI9049a,2.0
HI9050a,2.0
HI9051a,2.0
HI9052a,2.0
HI9053a,2.0
HI9054a,2.0
HI9055a,2.0
HI9056a,2.0
HI9079a,2.0
HI9020a,2.0
HI9002a,2.0
HI9003a,2.0
HI9004a,2.0
HI9005a,2.0
HI9006a,2.0
HI9007a,2.0
HI9008a,2.0
HI9009b,2.0
HI9010b,2.0
HI9011b,2.0
HI9012b,2.0
HI9013b,2.0
HI9014b,2.0
HI9015b,2.0
HI9016b,2.0
HI9017b,2.0
HI9018b,2.0
HI9019b,2.0
HI9020b,2.0
HI9066b,2.0
HI9067b,2.0
HI9068b,2.0
HI9022b,2.0
HI9069b,2.0
HI9070c,2.0
HI9023c,2.0
HI9024c,2.0
HI9025c,2.0
HI9026c,2.0
HI9028c,2.0
HI9029c,2.0
HI9030c,2.0
HI9043b,2.0
HI9044b,2.0
HI9045b,2.0
HI9046b,2.0
HI9048c,2.0
HI9074b,2.0
HI9049c,2.0
HI9050c,2.0
HI9051c,2.0
HI9052c,2.0
HI9053c,2.0
HI9054c,2.0
HI9055c,2.0
HI8020c,2.0
HI9079c,2.0
HI7064c,3.0
HI2105c,3.0
HI7032c,3.0
HI7054d,3.0
HI3002d,3.0
HI7035d,3.0
HI7056d,3.0
HI7057d,3.0
HI8051a,3.0
HI8053a,3.0
HI8074a,3.0
HI8054a,3.0
HI4034a,3.0
HI4038a,3.0
HI8005a,3.0
HI4036a,3.0
HI8007a,3.0
HI8008a,3.0
HI8056a,3.0
HI8009a,3.0
HI8010a,3.0
HI8030c,3.0
HI2092c,3.0
HI8034d,3.0
HI2081d,3.0
HI2072d,3.0
HI8037d,3.0
HI8038d,3.0
HI8039d,3.0
HI8040d,3.0
HI3052d,3.0
HI8068d,3.0
HI8042d,3.0
HI8043d,3.0
HI8044d,3.0
HI3058d,3.0
HI8047d,3.0
HI8048d,3.0
HI8050d,3.0
HI4005a,3.0
HI9030a,3.0
HI9031a,3.0
HI9032a,3.0
HI9071a,3.0
HI9033a,3.0
HI9034a,3.0
HI9072a,3.0
HI9035a,3.0
HI9036a,3.0
HI9038d,3.0
HI9039d,3.0
HI9040d,3.0
HI9041d,3.0
HI9042d,3.0
HI9043d,3.0
HI9061c,3.0
HI9062c,3.0
HI9063c,3.0
HI8039c,3.0
HI9064c,3.0
HI9065c,3.0
HI9040c,3.0
HI9088b,3.0
HI9090b,3.0
HI9091b,3.0
HI8030b,3.0
HI9092b,3.0
HI9093b,3.0
HI9094b,3.0
HI9034b,3.0
HI9081c,3.0
HI9082c,3.0
HI9083c,3.0
HI9068c,3.0
HI9084c,3.0
HI9085c,3.0
HI9086c,3.0
HI9087c,3.0
HI9041c,3.0
HI9095c,3.0
HI9096c,3.0
HI9102c,3.0
HI9037g,3.0
HI9097c,3.0
HI9098c,3.0
HI9099c,3.0
HI9100c,3.0
HI9101c,3.0
HI7030a,3.0
HI7053a,3.0
HI2105a,3.0
HI7032b,3.0
HI7033b,3.0
HI3002b,3.0
HI7035b,3.0
HI7057b,3.0
HI4005c,3.0
HI4013c,3.0
HI8053c,3.0
HI8074c,3.0
HI8055c,3.0
HI4034c,3.0
HI4038c,3.0
HI8005c,3.0
HI4036c,3.0
HI8007c,3.0
HI8008c,3.0
HI8056c,3.0
HI8009c,3.0
HI2065a,3.0
HI2090a,3.0
HI2092b,3.0
HI8034b,3.0
HI2081b,3.0
HI2072b,3.0
HI8037b,3.0
HI8066b,3.0
HI8039b,3.0
HI8040b,3.0
HI3052b,3.0
HI8070b,3.0
HI8042b,3.0
HI8043b,3.0
HI8044b,3.0
HI8046b,3.0
HI8047b,3.0
HI8071b,3.0
HI8050c,3.0
HI9031c,3.0
HI9032c,3.0
HI9071c,3.0
HI9033c,3.0
HI9034c,3.0
HI9072c,3.0
HI9035c,3.0
HI9036c,3.0
HI9037c,3.0
HI9073b,3.0
HI9038b,3.0
HI9039b,3.0
HI9040b,3.0
HI9041b,3.0
HI9042b,3.0
HI7032a,3.0
HI9061a,3.0
HI9062a,3.0
HI9063a,3.0
HI8039a,3.0
HI9064a,3.0
HI9065a,3.0
HI7032d,3.0
HI9088d,3.0
HI9090d,3.0
HI9091d,3.0
HI8030d,3.0
HI9092d,3.0
HI9093d,3.0
HI9094d,3.0
HI7035a,3.0
HI9081a,3.0
HI9082a,3.0
HI9083a,3.0
HI8068a,3.0
HI9084a,3.0
HI9085a,3.0
HI9086a,3.0
HI9087a,3.0
HI2092a,3.0
HI9095a,3.0
HI9096a,3.0
HI9102a,3.0
HI9037a,3.0
HI9097a,3.0
HI9098a,3.0
HI9099a,3.0
HI9100a,3.0
