,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
0,1,292,1324,2037,2690,3061,4542,4334,5957,7266,7827,8201,9234,9538,10092,10580,9433,9597,12606,12297,10823,11694,12675,14382,15515,15415,15953,14341,13937,12469,12164,11500,10746,10703,10882,10034,9522,8471,8236,7956,7963,6509,5813,5047,3899,3820,3118,1568,991,3171,3850,4403,4684,5087,8174,8131,8279,8894,9645,10473,10363,10960,11156,11457,10837,12099,12420,13115,12935,13653,15490,16173,17002,18230,18920,19137,19309,18005,17070,16351,15665,16019,14056,14371,14564,12395,12524,11949,13005,12505,11534,12237,10188,9421,8778,8048,6471,5988,6167,4886,4714,3414,2900,3329,3063,12092,12160,12706,12930,14171,14091,15176,15158,14976,14054,14698,15799,15125,17481,17232,18626,18188,18772,24134,20537,22303,22050,24117,24018,25586,20277,20808,20344,19840,19827,18360,17749,17586,16353,15216,16144,15446,15786,15916,16723,16795,12946,12221,11541,10151,9063,7879,7273,6261,6483,4911,6156,5443,6032,6135,7296,8484,6552,6836,7669,16052,16527,17851,20259,18545,19213,11928,12978,15124,17419,8153,8959,8260,10130,9597,12060,11761,8484,9554,9799,12484,11776,13421,13088,13523,5802,6319,6094,6839,7801,8936,8355,8499,8519,13379,14289,17292,16678,17434,17513,19099,19080
1,420,276,1103,1816,2469,2840,4266,4113,5681,6990,7551,7925,8958,9262,9816,9839,9212,9376,12385,12076,10602,11473,12454,14161,15294,15194,15732,14120,13716,12248,11943,11279,10525,10482,10661,9813,9301,8250,8015,8219,8226,6772,6076,4826,4306,4083,2897,1831,1254,2925,3574,4127,4357,4811,7898,7855,8003,8618,9369,10197,10087,10684,10880,11181,10616,11878,12199,12894,12714,13432,15269,15952,16781,18009,18699,18916,19088,17784,16849,16130,15444,15798,13835,14150,14343,12174,12214,12212,13219,12589,11748,12321,10402,9635,8611,8262,6675,6251,6430,5149,4977,3677,3163,3592,2817,11816,11884,12430,12654,13895,13815,14900,14882,14700,13833,14477,15578,14904,17260,17011,18405,17967,18551,23913,20316,22082,21829,23896,23797,25365,20056,20587,20123,19619,19606,18139,17528,17365,16132,14995,16407,15709,16049,16179,16986,16524,13160,12435,11625,10235,9276,8142,7536,6524,6746,5174,6419,5706,5830,5889,7050,8255,6276,6560,7393,15831,16306,17630,20038,18324,18992,11707,12757,14903,17198,8416,9095,8474,10344,9681,12144,11845,8747,9817,10062,12059,12039,13684,13351,13786,5943,6460,6308,7053,8005,9020,8618,8762,8782,13593,14503,17555,16941,17163,17145,18731,18712
2,1286,1315,1,1161,1814,2185,3746,3458,5161,6470,7031,7405,8438,8742,9296,9784,8557,8721,11730,11421,9700,10571,11569,13276,14409,14054,14592,13235,13116,11648,11343,10679,9925,9882,10027,9213,8701,7650,7415,7451,8897,7443,6664,5146,4626,4689,3217,2676,1925,3232,3054,3607,3888,4291,7378,7335,7483,8098,8849,9677,9567,10164,10360,10661,9961,11223,11544,11740,11558,12219,13938,15297,16126,17669,18359,18031,18203,16899,15964,15855,15169,15164,13235,13550,13743,11574,11614,12015,13539,12909,12068,12641,10722,9955,8931,8582,6995,6810,7101,5708,5536,4348,3834,4170,3124,11296,11364,11910,12134,13375,13295,14380,14362,14180,13178,13822,14923,14249,16605,16356,17520,17082,17666,23313,19716,21482,21229,23296,23197,24480,19171,19702,19489,18985,18972,17505,16894,16765,15532,14395,16210,15512,15852,15982,16789,16844,13480,12755,11945,10555,9596,8701,8095,7175,7417,5845,7090,6074,6137,6196,7357,7688,5756,6040,6873,15231,15706,17290,19698,18029,18392,11107,12157,14628,16564,8407,9213,8794,10664,10001,12464,12165,8233,9206,9858,11459,11842,12794,13154,13589,6263,6780,6628,7373,8325,9340,9158,9302,9322,13913,14823,17358,16744,17483,17465,19051,19032
3,3149,3005,2008,1,1188,1983,2893,3397,4317,5626,6187,6561,7594,7898,8452,8940,8385,8549,11558,11249,9498,10369,11367,13074,14207,13852,14390,13033,13307,11839,11534,10359,10153,10110,9865,9318,8722,8054,8714,8750,10727,9273,8577,6965,6445,6584,5113,4333,3786,3902,2977,3530,3811,3451,6534,6491,6639,7254,8005,8833,8723,9320,9516,9817,9789,11051,11372,11538,11356,12017,13736,15125,15954,17497,18187,17829,18001,16697,15762,15693,15007,15002,13326,13641,14147,12288,12913,13314,15314,14728,14152,14460,12541,11774,10750,10401,9235,8703,9108,7601,7429,6188,5664,4662,3915,9911,10520,11168,11290,12531,12451,13536,13518,13336,13006,13650,14751,14077,16433,16184,17318,16880,17464,23341,19744,21510,21257,23324,23225,24278,18969,19785,19327,18823,18810,17343,16732,17176,16420,15283,17509,16811,17151,17281,18088,18160,15299,14574,13764,12374,11827,10594,9988,9068,9533,7675,8726,6754,7002,6952,8113,7611,5679,5963,6033,15259,15734,17118,19526,17857,18420,11298,12385,14466,16402,9706,10512,10613,12483,11820,14283,13984,9532,10505,11157,12758,13141,14093,14453,14888,8082,8599,8447,9192,10565,11159,11070,11214,11234,15688,16598,18657,18043,18799,19488,21074,21055
4,2463,2492,1589,1056,1,1147,2441,2420,4384,5693,6254,6628,7661,7965,8519,7876,7249,7413,10422,10113,8662,9533,10531,12238,13371,13016,13554,12197,12431,10963,10658,9483,9277,9234,8989,8442,7846,7178,7778,7982,9992,8538,7715,6197,5677,5846,4394,3833,3102,4701,3776,3616,3583,3498,6601,6558,6706,7321,8072,8900,8790,9387,9583,9157,8653,9915,10236,10702,10520,11181,12900,13989,14818,16361,17051,16993,17165,15861,14926,14817,14131,14126,12450,12765,13271,11412,12145,12546,14546,13960,13384,13692,11773,11006,9982,9633,8046,7967,8372,6865,6693,5525,5011,5461,4704,9958,10587,11215,11357,12598,12518,13603,13585,13403,11870,12514,13615,12941,15255,15006,16482,16044,16628,21741,18144,19910,19657,21724,21625,23442,18133,18664,18451,17947,17934,16467,15856,16300,15544,14407,16741,16043,16383,16513,17320,17392,14531,13806,12996,11606,10647,9858,9252,8332,8594,7022,8267,7553,7801,7751,8912,8410,6478,6762,6080,13742,14221,15982,18390,16721,16820,10422,11509,13590,15526,8938,9744,9845,11715,11052,13515,13216,8764,9737,10389,11990,12373,13325,13685,14120,7314,7831,7679,8424,9376,10391,10209,10353,10373,14920,15830,17889,17275,18031,18720,20306,20287
5,3054,3083,2180,1647,1401,1,2006,1985,4065,5374,5935,6309,7342,7646,8200,7441,6814,6978,9987,9678,8227,9098,10096,11803,12936,12581,13119,11762,12062,10594,10289,9692,8908,8865,8620,8682,7955,7287,7887,8544,10577,9123,8377,6859,6339,6431,4930,4418,3693,5292,3874,3725,3692,3607,6282,6239,6387,7002,7753,8581,8471,9068,9264,8722,8218,9480,9801,10267,10085,10746,12465,13554,14383,15926,16616,16558,16730,15426,14491,14205,13519,13514,13000,13315,13380,11521,12707,13108,15252,14622,13781,14354,12435,11668,10644,10295,8708,8552,8957,7450,7278,6116,5602,6081,5295,10200,10268,10814,11038,12279,12199,13284,13266,12469,11435,12079,13180,12506,14820,14571,16047,15609,16193,21306,17709,19475,19222,21289,21190,23007,17698,18229,17839,17335,17565,16098,15487,15931,15653,14516,17303,16605,16945,17075,17882,17954,15193,14468,13658,12268,11309,10443,9837,8917,9382,7613,8858,8173,8392,8342,9503,9001,7069,6516,6189,13307,13786,15547,17955,16286,16385,10053,10831,12978,14914,9500,10306,10507,12377,11714,14177,13878,9326,10299,10951,12724,12935,13887,14247,14682,7976,8493,8341,9086,10038,11053,10871,11015,11035,15626,16536,18451,17837,18593,19282,20868,20849
6,3984,4013,3110,2577,2331,1287,1,741,2766,3842,4403,4777,6072,6359,6913,6197,5570,5734,8743,8434,6983,7854,8852,10559,11692,11337,11875,10518,10818,9350,9045,8448,7664,7621,7376,7438,7922,8143,8743,9474,11507,10053,9307,7789,7269,7361,5860,5348,4623,6222,4804,4655,4622,4364,4995,4952,5100,5715,6466,7294,7184,7781,7977,7478,6974,8236,8557,9023,8841,9502,11221,12310,13139,14682,15372,15314,15486,14182,13247,12961,12275,12270,11756,12071,13563,12377,13637,14038,16182,15552,14711,15284,13365,12598,11574,11225,9638,9482,9887,8380,8208,7046,6532,7011,6225,8913,8981,9527,9751,10992,10912,11997,11979,11225,10191,10835,11936,11262,13576,13327,14803,14365,14949,20062,16465,18231,17978,20045,19946,21763,16454,16985,16595,16091,16321,14854,14243,14687,16757,15372,18233,17535,17875,18005,18812,18884,16123,15398,14588,13198,12239,11373,10767,9847,10312,8543,9788,9103,9322,9272,10433,9931,7999,7446,7119,12063,12542,14303,16711,15042,15141,8809,9587,11734,13670,10430,11236,11437,13307,12644,15107,14808,10256,11229,11881,13580,13865,14863,15177,15612,8906,9423,9271,10016,10968,11983,11801,11945,11965,16556,17466,19381,18767,19523,20212,21798,21779
7,4333,4362,3459,2926,2680,1636,1003,1,2703,3779,4340,4714,6008,6296,6850,6134,5507,5671,8680,8371,6920,7791,9065,10772,11905,11550,12088,10731,10754,9286,8981,8384,7600,7557,7312,7374,7858,8897,9092,9823,11856,10402,9656,8138,7618,7710,6209,5697,4972,6571,5153,5004,4971,4301,4932,4889,5037,5652,6403,7231,7121,7718,7914,7415,6911,8173,8494,8960,8778,9439,11158,12247,13076,14619,15309,15527,15699,14395,13460,12898,12212,12207,11692,12007,13499,12921,14291,14387,16531,15901,15060,15633,13714,12947,11923,11574,9987,9831,10236,8729,8557,7395,6881,7360,6574,8850,8918,9464,9688,10929,10849,11934,11916,11162,10128,10772,11873,11199,13513,13264,15016,14578,15162,20275,16678,18444,18191,20258,20159,21976,16667,17198,16532,16028,16257,14790,14179,14623,16693,15694,18582,17884,18224,18354,19161,19233,16472,15747,14937,13547,12588,11722,11116,10196,10661,8892,10137,9452,9671,9621,10782,10280,8348,7795,6943,12276,12755,14240,16648,14979,15354,8745,9832,11671,13607,10779,11585,11786,13656,12993,15456,15157,10605,11931,12646,14291,14566,15368,15526,15961,9255,9772,9620,10365,11317,12332,12150,12294,12314,16905,17815,19730,19116,19872,20561,22147,22128
8,6259,6288,5385,4852,4606,3562,2929,2600,2231,2442,3003,3120,3427,4046,4600,5088,4720,4884,7893,7584,5957,6828,8005,9712,10845,10490,11028,9671,9657,8189,7884,8873,7012,7607,7801,7863,8347,9386,10060,10758,12720,11216,10485,8999,8479,8982,7481,6969,6898,8428,6942,6793,6760,5434,3913,3870,4018,4533,5283,6111,6001,5667,5664,5965,6124,7386,7707,7997,8222,8940,10777,11460,12289,13832,14522,14467,14639,13335,12400,12116,11430,11425,12181,12496,13988,13410,14780,15220,17198,16762,16149,16494,14575,13808,12784,12435,10848,11103,11508,10001,9829,8972,8807,9352,8500,7831,7799,8345,8154,9395,9315,10400,9666,9683,9341,9985,11086,10412,12768,12519,13956,13518,14102,19830,16233,17999,17746,19813,19714,20916,15607,16138,15487,15246,15232,14003,14668,15112,17182,16183,19415,18717,19057,19187,19994,20066,17333,16608,15798,14408,13449,12994,12388,11468,11933,10818,12063,11444,11493,11434,12552,12066,9823,9065,7981,11216,11695,13453,15861,14192,14909,7648,8742,10889,12825,11714,12520,12647,14517,13854,16317,16018,11540,12420,13135,14780,15055,15857,16359,16794,10116,10633,10481,11226,12178,13193,13011,13155,13175,17572,18482,20563,19949,20705,21889,23475,23456
9,8317,8173,7202,6943,6697,5739,4459,4142,2747,1,964,1338,2535,3123,3677,4165,4364,4528,7420,7111,6471,7341,8026,9771,10879,11435,12001,10534,10712,9727,10313,11328,9441,10036,10256,10318,10802,11841,12515,13213,15175,13732,12940,11468,10948,11040,9539,9027,8956,8952,7480,7331,7298,5972,2848,2805,2681,2566,3316,4144,4034,4897,4741,5042,5768,7000,7321,7929,7749,8467,10304,11104,11933,13476,14166,15634,15502,14198,13263,13529,14102,13854,14636,14951,16443,15865,17235,17675,19653,19231,18604,18963,17044,16277,15253,14904,13317,13161,13566,12059,11887,11030,10834,9832,9083,6608,5832,6378,6602,7843,7763,8848,8743,8760,8985,9492,10730,10056,12412,12163,13977,13539,14123,19474,15877,17643,17390,19457,19358,20831,16470,17001,16350,17675,17661,16432,17123,17567,19637,18638,21870,21172,21512,21642,22449,22521,19802,19077,18267,16877,15918,15052,14446,13526,13991,12845,13896,11924,11536,11053,11992,11506,9325,8665,7581,11250,11754,13097,15505,13836,14553,10077,11171,13105,15254,14169,14975,15116,16986,16323,18786,18487,13995,14875,15590,17235,17510,18312,18814,19249,12585,13102,12950,13695,14647,15662,15480,15624,15644,20027,20937,23018,22404,23160,24344,25930,25911
