id,lat,long,num_road
HI7000d,116.42769,39.94485,4
HI7001a,116.42764,39.9433,3
HI7002a,116.42782,39.93705,2
HI7039a,116.42832,39.92993,3
HI7003a,116.42785,39.92513,3
HI7040a,116.42875,39.92075,3
HI7004a,116.42878,39.91865,4
HI7005a,116.42928,39.912,3
HI7006a,116.42962,39.90918,3
HI7041a,116.42983,39.90523,3
HI7007a,116.43007,39.90175,3
HI7042a,116.43342,39.89822,3
HI7008a,116.43793,39.89615,3
HI7009a,116.43835,39.89055,3
HI7010a,116.4387,39.8854,3
HI7011a,116.43955,39.88148,3
HI7012a,116.43945,39.87582,3
HI7013a,116.43828,39.87125,3
HI7014b,116.43597,39.86927,3
HI7015b,116.43022,39.86944,3
HI7043b,116.42113,39.86993,3
HI7016b,116.41767,39.87013,3
HI7017b,116.41218,39.86992,2
HI7059b,116.40307,39.8707,3
HI5093b,116.39986,39.87061,4
HI7019b,116.38643,39.87006,3
HI7020b,116.37753,39.86958,4
HI7046b,116.35768,39.86753,4
HI7022b,116.35141,39.86705,6
HI7023c,116.34364,39.86783,3
HI7065c,116.34275,39.8723,5
HI5056c,116.34325,39.87617,4
HI7025c,116.34269,39.883,4
HI7026c,116.34258,39.89158,4
HI2068c,116.34268,39.89468,3
HI7048d,116.34997,39.89798,3
HI2075c,116.35073,39.90278,4
HI7049c,116.3503,39.9044,3
HI7029c,116.3504,39.9078,3
HI7050c,116.35037,39.91002,3
HI7052c,116.35023,39.91367,3
HI7064c,116.35017,39.92385,4
HI2105c,116.34957,39.92857,3
HI7032c,116.34932,39.93655,3
HI7054d,116.35598,39.94435,3
HI3002d,116.36025,39.94573,3
HI7035d,116.36985,39.94772,3
HI7056d,116.37833,39.94747,3
HI7057d,116.38915,39.94757,3
HI7058d,116.40402,39.9475,3
HI3008d,116.40997,39.94768,3
HI3009d,116.4194,39.94832,3
HI7060d,116.42345,39.94815,3
HI8051a,116.45598,39.94497,3
HI4013a,116.45595,39.93703,3
HI8053a,116.45518,39.93153,3
HI8074a,116.45551,39.9279,3
HI8054a,116.45513,39.92397,3
HI4034a,116.45497,39.91835,3
HI4038a,116.4551,39.89833,3
HI8005a,116.4549,39.89075,3
HI4036a,116.45519,39.88778,4
HI8007a,116.45467,39.88227,3
HI8008a,116.455,39.87857,3
HI8056a,116.45523,39.87312,4
HI8009a,116.4545,39.86918,3
HI8010a,116.45257,39.86438,3
