0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2,4,7,1,11,8,12,3,5,9,15,13,20,22,10,14,6,21,23,17,25,18,16,24,26,27,29,19,28
1,11,8,12,0,2,7,4,13,20,10,22,5,3,9,15,23,21,14,6,24,26,17,25,16,18,27,29,19,28
2,0,4,7,1,11,8,12,3,5,9,15,13,20,22,10,14,6,21,23,17,25,18,16,24,26,27,29,19,28
3,5,7,4,14,6,0,2,9,15,8,12,1,11,10,22,18,16,17,25,20,13,24,26,21,23,28,19,27,29
4,7,0,2,8,12,3,5,9,15,1,11,22,10,14,6,13,20,17,25,21,23,16,18,24,26,27,29,19,28
5,3,7,4,14,6,0,2,9,15,8,12,1,11,10,22,18,16,17,25,20,13,24,26,21,23,28,19,27,29
6,14,15,9,3,5,18,16,4,7,17,25,22,10,19,28,12,8,0,2,27,29,24,26,11,1,21,23,20,13
7,4,0,2,8,12,3,5,9,15,1,11,22,10,14,6,13,20,17,25,21,23,16,18,24,26,27,29,19,28
8,12,1,11,4,7,22,10,13,20,2,0,15,9,21,23,5,3,14,6,24,26,17,25,16,18,27,29,19,28
9,15,14,6,22,10,4,7,17,25,5,3,12,8,18,16,24,26,0,2,11,1,21,23,27,29,19,28,20,13
10,22,9,15,8,12,21,23,26,24,17,25,4,7,20,13,11,1,6,14,0,2,27,29,5,3,18,16,28,19
11,1,8,12,0,2,7,4,13,20,10,22,5,3,9,15,23,21,14,6,24,26,17,25,16,18,27,29,19,28
12,8,1,11,4,7,22,10,13,20,2,0,15,9,21,23,5,3,14,6,24,26,17,25,16,18,27,29,19,28
13,20,21,23,12,8,1,11,22,10,7,4,2,0,15,9,26,24,5,3,25,17,14,6,27,29,18,16,28,19
14,6,15,9,3,5,18,16,4,7,17,25,22,10,19,28,12,8,0,2,27,29,24,26,11,1,21,23,20,13
15,9,14,6,22,10,4,7,17,25,5,3,12,8,18,16,24,26,0,2,11,1,21,23,27,29,19,28,20,13
16,18,19,28,25,17,14,6,15,9,27,29,26,24,5,3,10,22,7,4,12,8,2,0,21,23,11,1,13,20
17,25,29,27,26,24,18,16,9,15,19,28,22,10,14,6,7,4,21,23,12,8,5,3,20,13,2,0,11,1
18,16,19,28,25,17,14,6,15,9,27,29,26,24,5,3,10,22,7,4,12,8,2,0,21,23,11,1,13,20
19,28,18,16,29,27,25,17,14,6,26,24,9,15,10,22,5,3,4,7,21,23,8,12,2,0,20,13,11,1
20,13,21,23,12,8,1,11,22,10,7,4,2,0,15,9,26,24,5,3,25,17,14,6,27,29,18,16,28,19
21,23,20,13,22,10,8,12,24,26,9,15,11,1,25,17,7,4,2,0,27,29,6,14,5,3,18,16,28,19
22,10,9,15,8,12,21,23,26,24,17,25,4,7,20,13,11,1,6,14,0,2,27,29,5,3,18,16,28,19
23,21,20,13,22,10,8,12,24,26,9,15,11,1,25,17,7,4,2,0,27,29,6,14,5,3,18,16,28,19
24,26,17,25,10,22,29,27,21,23,9,15,16,18,12,8,19,28,14,6,20,13,7,4,11,1,5,3,2,0
25,17,29,27,26,24,18,16,9,15,19,28,22,10,14,6,7,4,21,23,12,8,5,3,20,13,2,0,11,1
26,24,17,25,10,22,29,27,21,23,9,15,16,18,12,8,19,28,14,6,20,13,7,4,11,1,5,3,2,0
27,29,25,17,19,28,26,24,18,16,9,15,22,10,14,6,21,23,12,8,7,4,5,3,20,13,11,1,2,0
28,19,18,16,29,27,25,17,14,6,26,24,9,15,10,22,5,3,4,7,21,23,8,12,2,0,20,13,11,1
29,27,25,17,19,28,26,24,18,16,9,15,22,10,14,6,21,23,12,8,7,4,5,3,20,13,11,1,2,0
