2001,东直门桥北728米（内环）,116.42769,39.94485,4,3,HI7000d,HI7060b
2002,东直门桥北539米人行天桥西（外环）,116.42764,39.9433,3,3,HI7001a,HI7000c
2003,东直门南机非隔离带内现况视频旁（外环）,116.42782,39.93705,2,3,HI7002a,HI7001c
2004,东四十条桥北绿地内中航大厦南20米,116.4276,39.93413,3,3,,
2005,东四十条桥南富华大厦附近（外环）,116.42832,39.92993,3,3,HI7039a,HI7002c
2006,朝阳门桥北700米（内环）出租车站牌前,116.42785,39.92513,3,3,HI7003a,HI7039c
2007,朝阳门桥南外交部签证处指示牌,116.42875,39.92075,3,3,HI7040a,HI7003c
2008,朝阳门桥南750米（外环）外企集团北100m,116.42878,39.91865,4,3,HI7004a,HI7040c
2009,建国门北（外环）出口处，三角绿地内,116.42928,39.912,3,3,HI7005a,HI7004c
2010,建国门北三角绿地北端,116.42962,39.90918,3,3,HI7006a,HI7005c
2011,建国门南三角绿地南端,116.42983,39.90523,3,3,HI7041a,HI7006c
2012,建国门桥南（内环）北京站路口天桥南30米,116.43007,39.90175,3,3,HI7007a,HI7041c
2014,东便门桥南桥下辅路（外环）,116.43342,39.89822,3,4,HI7042a,HI7007c
2015,广渠门桥北铁路宾馆前,116.43793,39.89615,3,4,HI7008a,HI7042c
2016,广渠门桥南三角地南端（外环）,116.43835,39.89055,3,4,HI7009a,HI7008c
2017,光明桥北路300米,116.4387,39.8854,3,3,HI7010a,HI7009c
2018,光明桥南三角地南端,116.43955,39.88148,3,4,HI7011a,HI7010c
2019,光明桥南780米潘家园路口北80m,116.43945,39.87582,3,3,HI7012a,HI7011c
2020,光明桥南肿瘤医院附近（外环）,116.43828,39.87125,3,2,HI7013a,HI7012c
2021,左安门桥东800米主路转弯处,116.43597,39.86927,3,4,HI7014b,HI7013c
2022,左安门桥西200米,116.43022,39.86944,3,3,HI7015b,HI7014d
2023,左安门桥西800米辅路芳古路地下通道处,116.42113,39.86993,3,3,HI7043b,HI7015d
2024,玉蜓桥东（内环）方庄出口标志牌附近，路北侧,116.41767,39.87013,3,3,HI7016b,HI7043d
2025,玉蜓桥西（内环）,116.41218,39.86992,2,3,HI7017b,HI7016d
2026,景泰桥西150米,116.40307,39.8707,3,3,HI7059b,HI7017d
2027,景泰桥西、百万庄园东100m,116.39986,39.87061,4,3,HI5093b,HI7059d
2030,陶然桥东雅涛洗浴中心,116.38643,39.87006,3,4,HI7019b,HI5093d
2031,陶然桥西船闸处机非隔离带内,116.37753,39.86958,4,4,HI7020b,HI7019d
2033,右安门桥下西南角（外环）,116.35768,39.86753,4,4,HI7046b,HI5062d
2034,菜户营桥东外北京商务会馆前,116.35141,39.86705,6,3,HI7022b,HI7046d
2035,菜户营桥下由北向东方向主路两侧,116.34364,39.86783,3,3,HI7023c,HI7022a
2036,白纸坊桥南（外环）中国商品交易中心前,116.34275,39.8723,5,3,HI7065c,HI7023a
2037,白纸坊桥下东北角,116.34325,39.87617,4,3,HI5056c,HI7065a
2038,广安门桥南LED显示屏南25米,116.34269,39.883,4,3,HI7025c,HI5056a
2040,广安门桥北龙门架标志牌旁绿地内,116.34258,39.89158,4,5,HI7026c,HI7025a
2041,天宁寺桥南桥下绿地内（内环）热电厂烟筒对面,116.34268,39.89468,3,3,HI2068c,HI7026a
2043,西便门桥主路向西转弯处（外环）“百野电器”前,116.34997,39.89798,3,3,HI7048d,HI2068a
2044,复兴门桥南300米主路出口（外环）,116.35073,39.90278,4,3,HI2075c,HI7048b
2045,复兴门桥南三角地绿地内（外环）,116.3503,39.9044,3,3,HI7049c,HI2075a
2046,复兴门桥北三角地绿地内、百盛楼下（内环）,116.3504,39.9078,3,3,HI7029c,HI7049a
2047,复兴门桥北第一个天桥北90米（外环）,116.35037,39.91002,3,3,HI7050c,HI7029a
2048,月坛南桥北135米（外环）,116.35023,39.91367,3,3,HI7052c,HI7051a
2050,阜成门桥北小三角地内（内环）,116.35017,39.92385,4,4,HI7064c,HI7030a
2052,官园桥桥南30米（外环）,116.34957,39.92857,3,3,HI2105c,HI7053a
2054,西直门桥南人民医院出口（外环）,116.34932,39.93655,3,3,HI7032c,HI2105a
