0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,2,4,17,3,5,21,19,8,1,7,13,15,18,27,20,37,23,10,6,22,25,14,11,38,29,16,31,32,28,24,9,41,39,30,59,66,40,33,50,92,34,44,26,42,45,43,73,60,53,67,61,74,68,35,12,56,52,54,46,62,81,88,69,57,70,80,58,78,75,51,48,77,55,90,76,93,82,79,96,72,85,89,91,64,71,98,95,87,94,47,36,97,99,63,49,84,86,83,65
1,8,25,22,24,9,0,2,21,19,23,37,44,26,17,4,3,5,39,41,27,20,42,45,38,29,18,15,7,13,46,54,43,73,66,40,10,6,32,28,31,16,59,30,14,11,77,55,68,74,78,75,67,61,79,96,33,50,60,53,88,69,90,76,34,92,81,62,56,52,97,99,58,80,70,57,91,89,12,35,95,98,82,93,51,48,72,85,94,87,71,64,47,36,86,84,63,49,83,65
0,2,4,17,3,5,21,19,8,1,7,13,15,18,27,20,37,23,10,6,22,25,14,11,38,29,16,31,32,28,24,9,41,39,30,59,66,40,33,50,92,34,44,26,42,45,43,73,60,53,67,61,74,68,35,12,56,52,54,46,62,81,88,69,57,70,80,58,78,75,51,48,77,55,90,76,93,82,79,96,72,85,89,91,64,71,98,95,87,94,47,36,97,99,63,49,84,86,83,65
3,5,4,17,7,13,18,15,0,2,6,10,19,21,27,20,14,11,16,31,32,28,23,37,38,29,1,8,92,34,59,30,50,33,22,25,35,12,39,41,60,53,66,40,52,56,67,61,9,24,70,57,48,51,80,58,62,81,43,73,74,68,42,45,44,26,88,69,71,64,72,85,47,36,93,82,90,76,94,87,46,54,49,63,78,75,91,89,95,98,77,55,84,86,83,65,96,79,97,99
17,4,3,5,18,15,7,13,19,21,20,27,0,2,6,10,16,31,14,11,28,32,23,37,38,29,30,59,8,1,25,22,50,33,34,92,41,39,40,66,60,53,52,56,67,61,35,12,9,24,62,81,70,57,43,73,80,58,68,74,51,48,45,42,69,88,44,26,82,93,85,72,90,76,64,71,54,46,78,75,87,94,36,47,91,89,98,95,77,55,49,63,79,96,84,86,97,99,83,65
3,5,4,17,7,13,18,15,0,2,6,10,19,21,27,20,14,11,16,31,32,28,23,37,38,29,1,8,92,34,59,30,50,33,22,25,35,12,39,41,60,53,66,40,52,56,67,61,9,24,70,57,48,51,80,58,62,81,43,73,74,68,42,45,44,26,88,69,71,64,72,85,47,36,93,82,90,76,94,87,46,54,49,63,78,75,91,89,95,98,77,55,84,86,83,65,96,79,97,99
6,10,11,14,7,13,18,15,31,16,3,5,4,17,20,27,32,28,92,34,19,21,50,33,35,12,0,2,29,38,30,59,52,56,23,37,60,53,48,51,70,57,80,58,66,40,67,61,36,47,81,62,64,71,8,1,22,25,41,39,72,85,63,49,82,93,88,69,94,87,74,68,43,73,83,65,86,84,24,9,76,90,42,45,89,91,95,98,44,26,75,78,54,46,97,99,77,55,79,96
7,13,15,18,6,10,3,5,17,4,14,11,16,31,27,20,19,21,28,32,0,2,34,92,33,50,38,29,59,30,23,37,35,12,60,53,52,56,66,40,25,22,1,8,70,57,48,51,41,39,67,61,58,80,62,81,64,71,47,36,68,74,85,72,88,69,73,43,93,82,24,9,49,63,94,87,42,45,76,90,26,44,91,89,86,84,83,65,98,95,78,75,46,54,77,55,79,96,97,99
1,8,25,22,24,9,0,2,21,19,23,37,44,26,17,4,3,5,39,41,27,20,42,45,38,29,18,15,7,13,46,54,43,73,66,40,10,6,32,28,31,16,59,30,14,11,77,55,68,74,78,75,67,61,79,96,33,50,60,53,88,69,90,76,34,92,81,62,56,52,97,99,58,80,70,57,91,89,12,35,95,98,82,93,51,48,72,85,94,87,71,64,47,36,86,84,63,49,83,65
24,9,22,25,26,44,1,8,42,45,46,54,41,39,23,37,73,43,19,21,2,0,77,55,38,29,78,75,66,40,4,17,27,20,68,74,96,79,3,5,18,15,59,30,7,13,67,61,32,28,76,90,16,31,69,88,6,10,97,99,11,14,60,53,62,81,33,50,91,89,95,98,92,34,58,80,56,52,82,93,57,70,94,87,12,35,85,72,48,51,71,64,86,84,36,47,63,49,83,65
6,10,11,14,7,13,18,15,31,16,3,5,4,17,20,27,32,28,92,34,19,21,50,33,35,12,0,2,29,38,30,59,52,56,23,37,60,53,48,51,70,57,80,58,66,40,67,61,36,47,81,62,64,71,8,1,22,25,41,39,72,85,63,49,82,93,88,69,94,87,74,68,43,73,83,65,86,84,24,9,76,90,42,45,89,91,95,98,44,26,75,78,54,46,97,99,77,55,79,96
14,11,6,10,16,31,13,7,18,15,92,34,32,28,5,3,17,4,20,27,50,33,35,12,19,21,52,56,30,59,0,2,29,38,53,60,51,48,70,57,37,23,58,80,36,47,64,71,81,62,61,67,66,40,85,72,63,49,41,39,22,25,93,82,8,1,94,87,69,88,65,83,84,86,68,74,43,73,90,76,89,91,95,98,24,9,42,45,26,44,75,78,54,46,97,99,96,79,55,77
35,12,92,34,48,51,47,36,11,14,50,33,31,16,49,63,10,6,56,52,71,64,57,70,32,28,7,13,15,18,65,83,53,60,72,85,80,58,27,20,5,3,84,86,17,4,59,30,87,94,81,62,21,19,38,29,82,93,61,67,0,2,23,37,66,40,88,69,91,89,39,41,68,74,98,95,90,76,25,22,73,43,1,8,42,45,78,75,24,9,97,99,44,26,46,54,79,96,55,77
7,13,15,18,6,10,3,5,17,4,14,11,16,31,27,20,19,21,28,32,0,2,34,92,33,50,38,29,59,30,23,37,35,12,60,53,52,56,66,40,25,22,1,8,70,57,48,51,41,39,67,61,58,80,62,81,64,71,47,36,68,74,85,72,88,69,73,43,93,82,24,9,49,63,94,87,42,45,76,90,26,44,91,89,86,84,83,65,98,95,78,75,46,54,77,55,79,96,97,99
14,11,6,10,16,31,13,7,18,15,92,34,32,28,5,3,17,4,20,27,50,33,35,12,19,21,52,56,30,59,0,2,29,38,53,60,51,48,70,57,37,23,58,80,36,47,64,71,81,62,61,67,66,40,85,72,63,49,41,39,22,25,93,82,8,1,94,87,69,88,65,83,84,86,68,74,43,73,90,76,89,91,95,98,24,9,42,45,26,44,75,78,54,46,97,99,96,79,55,77
15,18,13,7,17,4,20,27,31,16,5,3,10,6,11,14,28,32,21,19,0,2,29,38,33,50,30,59,23,37,92,34,53,60,56,52,12,35,66,40,41,39,67,61,22,25,70,57,8,1,58,80,62,81,48,51,68,74,69,88,43,73,72,85,64,71,93,82,9,24,47,36,45,42,87,94,76,90,44,26,49,63,89,91,95,98,84,86,78,75,46,54,83,65,55,77,97,99,96,79
31,16,11,14,28,32,18,15,6,10,7,13,20,27,50,33,34,92,4,17,5,3,59,30,19,21,29,38,52,56,53,60,12,35,57,70,23,37,51,48,0,2,80,58,67,61,62,81,40,66,64,71,72,85,39,41,93,82,47,36,88,69,87,94,25,22,74,68,49,63,1,8,86,84,73,43,90,76,83,65,89,91,98,95,45,42,24,9,26,44,78,75,54,46,97,99,96,79,55,77
17,4,3,5,18,15,7,13,19,21,20,27,0,2,6,10,16,31,14,11,28,32,23,37,38,29,30,59,8,1,25,22,50,33,34,92,41,39,40,66,60,53,52,56,67,61,35,12,9,24,62,81,70,57,43,73,80,58,68,74,51,48,45,42,69,88,44,26,82,93,85,72,90,76,64,71,54,46,78,75,87,94,36,47,91,89,98,95,77,55,49,63,79,96,84,86,97,99,83,65
15,18,13,7,17,4,20,27,31,16,5,3,10,6,11,14,28,32,21,19,0,2,29,38,33,50,30,59,23,37,92,34,53,60,56,52,12,35,66,40,41,39,67,61,22,25,70,57,8,1,58,80,62,81,48,51,68,74,69,88,43,73,72,85,64,71,93,82,9,24,47,36,45,42,87,94,76,90,44,26,49,63,89,91,95,98,84,86,78,75,46,54,83,65,55,77,97,99,96,79
21,19,17,4,27,20,23,37,18,15,0,2,5,3,38,29,7,13,32,28,16,31,22,25,6,10,59,30,41,39,8,1,11,14,40,66,50,33,67,61,53,60,9,24,73,43,34,92,74,68,45,42,44,26,52,56,81,62,69,88,80,58,57,70,46,54,12,35,76,90,75,78,93,82,51,48,55,77,91,89,95,98,85,72,96,79,94,87,64,71,97,99,47,36,63,49,84,86,83,65
27,20,18,15,32,28,21,19,38,29,17,4,16,31,13,7,59,30,5,3,37,23,10,6,11,14,33,50,0,2,66,40,53,60,92,34,41,39,61,67,56,52,22,25,81,62,58,80,57,70,74,68,8,1,69,88,73,43,12,35,48,51,82,93,45,42,90,76,85,72,24,9,87,94,44,26,91,89,64,71,95,98,75,78,54,46,47,36,77,55,49,63,84,86,97,99,79,96,83,65
21,19,17,4,27,20,23,37,18,15,0,2,5,3,38,29,7,13,32,28,16,31,22,25,6,10,59,30,41,39,8,1,11,14,40,66,50,33,67,61,53,60,9,24,73,43,34,92,74,68,45,42,44,26,52,56,81,62,69,88,80,58,57,70,46,54,12,35,76,90,75,78,93,82,51,48,55,77,91,89,95,98,85,72,96,79,94,87,64,71,97,99,47,36,63,49,84,86,83,65
22,25,24,9,1,8,37,23,26,44,39,41,19,21,45,42,38,29,2,0,43,73,46,54,40,66,27,20,17,4,5,3,55,77,15,18,68,74,75,78,30,59,32,28,13,7,61,67,96,79,31,16,10,6,69,88,76,90,11,14,60,53,50,33,81,62,97,99,89,91,92,34,52,56,95,98,58,80,82,93,70,57,35,12,94,87,72,85,51,48,64,71,86,84,36,47,49,63,65,83
23,37,38,29,21,19,41,39,25,22,20,27,40,66,59,30,4,17,43,73,28,32,15,18,0,2,45,42,1,8,68,74,61,67,3,5,13,7,44,26,16,31,24,9,88,69,60,53,10,6,46,54,78,75,50,33,11,14,62,81,76,90,77,55,52,56,58,80,92,34,79,96,91,89,57,70,98,95,82,93,97,99,87,94,85,72,12,35,51,48,71,64,84,86,47,36,63,49,83,65
24,9,22,25,26,44,1,8,42,45,46,54,41,39,23,37,73,43,19,21,2,0,77,55,38,29,78,75,66,40,4,17,27,20,68,74,96,79,3,5,18,15,59,30,7,13,67,61,32,28,76,90,16,31,69,88,6,10,97,99,11,14,60,53,62,81,33,50,91,89,95,98,92,34,58,80,56,52,82,93,57,70,94,87,12,35,85,72,48,51,71,64,86,84,36,47,63,49,83,65
22,25,24,9,1,8,37,23,26,44,39,41,19,21,45,42,38,29,2,0,43,73,46,54,40,66,27,20,17,4,5,3,55,77,15,18,68,74,75,78,30,59,32,28,13,7,61,67,96,79,31,16,10,6,69,88,76,90,11,14,60,53,50,33,81,62,97,99,89,91,92,34,52,56,95,98,58,80,82,93,70,57,35,12,94,87,72,85,51,48,64,71,86,84,36,47,49,63,65,83
26,44,45,42,54,46,24,9,25,22,77,55,41,39,73,43,78,75,23,37,8,1,79,96,66,40,68,74,38,29,21,19,97,99,76,90,0,2,67,61,27,20,88,69,30,59,17,4,15,18,32,28,3,5,89,91,13,7,62,81,95,98,60,53,16,31,6,10,50,33,11,14,93,82,58,80,56,52,34,92,70,57,94,87,72,85,51,48,35,12,71,64,84,86,36,47,63,49,83,65
27,20,18,15,32,28,21,19,38,29,17,4,16,31,13,7,59,30,5,3,37,23,10,6,11,14,33,50,0,2,66,40,53,60,92,34,41,39,61,67,56,52,22,25,81,62,58,80,57,70,74,68,8,1,69,88,73,43,12,35,48,51,82,93,45,42,90,76,85,72,24,9,87,94,44,26,91,89,64,71,95,98,75,78,54,46,47,36,77,55,49,63,84,86,97,99,79,96,83,65
28,32,31,16,27,20,59,30,50,33,18,15,29,38,60,53,11,14,7,13,34,92,6,10,56,52,19,21,17,4,5,3,23,37,67,61,57,70,80,58,40,66,81,62,51,48,12,35,39,41,0,2,88,69,82,93,72,85,74,68,71,64,94,87,25,22,73,43,76,90,89,91,95,98,47,36,84,86,8,1,49,63,45,42,83,65,78,75,24,9,44,26,97,99,54,46,79,96,55,77
38,29,37,23,59,30,27,20,40,66,19,21,28,32,41,39,67,61,15,18,16,31,17,4,53,60,74,68,73,43,50,33,13,7,81,62,88,69,25,22,5,3,11,14,0,2,6,10,56,52,80,58,76,90,45,42,92,34,70,57,93,82,8,1,75,78,89,91,44,26,95,98,9,24,54,46,87,94,85,72,97,99,96,79,77,55,51,48,35,12,64,71,86,84,47,36,63,49,65,83
30,59,29,38,28,32,53,60,67,61,40,66,62,81,20,27,50,33,80,58,31,16,56,52,88,69,37,23,15,18,74,68,70,57,21,19,41,39,93,82,34,92,7,13,76,90,4,17,11,14,89,91,73,43,6,10,87,94,72,85,95,98,5,3,51,48,22,25,64,71,0,2,35,12,42,45,75,78,97,99,84,86,96,79,1,8,26,44,46,54,77,55,63,49,36,47,24,9,83,65
31,16,11,14,28,32,18,15,6,10,7,13,20,27,50,33,34,92,4,17,5,3,59,30,19,21,29,38,52,56,53,60,12,35,57,70,23,37,51,48,0,2,80,58,67,61,62,81,40,66,64,71,72,85,39,41,93,82,47,36,88,69,87,94,25,22,74,68,49,63,1,8,86,84,73,43,90,76,83,65,89,91,98,95,45,42,24,9,26,44,78,75,54,46,97,99,96,79,55,77
