,id2,lat,long,id,num_road,class
0,2001,116.42769,39.94485,HI7000d,4,0
1,2002,116.42764,39.9433,HI7001a,3,0
2,2003,116.42782,39.93705,HI7002a,2,0
3,2005,116.42832,39.92993,HI7039a,3,0
4,2006,116.42785,39.92513,HI7003a,3,0
5,2007,116.42875,39.92075,HI7040a,3,0
6,2009,116.42928,39.912,HI7005a,3,0
7,2010,116.42962,39.90918,HI7006a,3,0
8,2012,116.43007,39.90175,HI7007a,3,0
9,2016,116.43835,39.89055,HI7009a,3,0
10,2017,116.4387,39.8854,HI7010a,3,0
11,2018,116.43955,39.88148,HI7011a,3,0
12,2019,116.43945,39.87582,HI7012a,3,0
13,2020,116.43828,39.87125,HI7013a,3,0
14,2021,116.43597,39.86927,HI7014b,3,0
15,2022,116.43022,39.86944,HI7015b,3,0
16,2023,116.42113,39.86993,HI7043b,3,0
17,2024,116.41767,39.87013,HI7016b,3,0
18,2025,116.41218,39.86992,HI7017b,2,0
19,2026,116.40307,39.8707,HI7059b,3,0
20,2027,116.39986,39.87061,HI5093b,4,0
21,2030,116.38643,39.87006,HI7019b,3,0
22,2031,116.37753,39.86958,HI7020b,4,0
23,2033,116.35768,39.86753,HI7046b,4,0
24,2034,116.35141,39.86705,HI7022b,6,1
25,2035,116.34364,39.86783,HI7022a,3,1
26,2036,116.34275,39.8723,HI7065c,5,1
27,2037,116.34325,39.87617,HI5056c,4,1
28,2038,116.34269,39.883,HI7025c,4,1
29,2040,116.34258,39.89158,HI7026c,4,1
30,2041,116.34268,39.89468,HI2068c,3,1
31,2043,116.34997,39.89798,HI7048d,3,1
32,2044,116.35073,39.90278,HI2075c,4,1
33,2045,116.3503,39.9044,HI7049c,3,1
34,2046,116.3504,39.9078,HI7029c,3,1
35,2047,116.35037,39.91002,HI7050c,3,1
36,2048,116.35023,39.91367,HI7052c,3,1
37,2050,116.35017,39.92385,HI7064c,4,3
38,2052,116.34957,39.92857,HI2105c,3,3
39,2054,116.34932,39.93655,HI7032c,3,3
40,2056,116.35598,39.94435,HI7054d,3,3
41,2057,116.36025,39.94573,HI3002d,3,3
42,2058,116.36985,39.94772,HI7035d,3,3
43,2060,116.37833,39.94747,HI7056d,3,3
44,2061,116.38915,39.94757,HI7057d,3,3
45,2063,116.40402,39.9475,HI7058d,3,0
46,2064,116.40997,39.94768,HI3008d,3,0
47,2066,116.4194,39.94832,HI3009d,3,0
48,2067,116.42345,39.94815,HI7060d,3,0
49,3001,116.45598,39.94497,HI8051a,3,3
50,3003,116.45518,39.93153,HI8053a,3,3
51,3004,116.45551,39.9279,HI8074a,3,3
52,3005,116.45513,39.92397,HI8054a,3,3
53,3006,116.45497,39.91835,HI4034a,3,3
54,3008,116.4551,39.89833,HI4038a,3,3
55,3009,116.4549,39.89075,HI8005a,3,3
56,3010,116.45519,39.88778,HI4036a,4,3
57,3011,116.45467,39.88227,HI8007a,3,3
58,3012,116.455,39.87857,HI8008a,3,3
59,3013,116.45523,39.87312,HI8056a,4,3
60,3014,116.4545,39.86918,HI8009a,3,3
61,3015,116.45257,39.86438,HI8010a,3,3
62,3017,116.43768,39.85753,HI8057a,3,1
63,3018,116.43218,39.85735,HI8011a,3,1
64,3020,116.42114,39.85669,HI8058b,3,1
65,3021,116.41064,39.85568,HI8014b,3,1
66,3022,116.40628,39.85582,HI8015b,3,1
67,3023,116.40205,39.85564,HI8016b,3,1
68,3024,116.39777,39.85593,HI8017b,3,1
69,3025,116.38563,39.85568,HI8059b,3,1
70,3026,116.38223,39.85545,HI8018b,3,1
71,3028,116.35651,39.85299,HI8019b,3,1
72,3029,116.34735,39.85049,HI8020b,3,1
73,3030,116.33546,39.84769,HI8021b,4,1
74,3032,116.32519,39.84817,HI8022b,3,1
75,3034,116.307,39.8617,HI8072c,3,1
76,3035,116.30603,39.86582,HI8073c,3,1
77,3036,116.30591,39.87053,HI8023c,3,1
78,3037,116.30506,39.87836,HI8025c,3,1
79,3038,116.30427,39.88782,HI8026c,3,1
80,3039,116.3043,39.89235,HI8062c,4,1
81,3040,116.30423,39.90154,HI8027c,3,1
82,3041,116.30417,39.91008,HI8063c,1,1
83,3042,116.30413,39.91579,HI8064c,3,1
84,3043,116.30368,39.92205,HI2063c,3,1
85,3044,116.3041,39.92637,HI2065c,4,1
86,3046,116.30409,39.93588,HI8030c,4,3
87,3049,116.304,39.948,HI2092c,4,3
88,3051,116.30477,39.96178,HI8034d,3,3
